2013-06-03 17:12:20,041 [8] DEBUG NHibernate.SQL - select menu0_.ID as ID1_, menu0_.Controller as Controller1_, menu0_.Action as Action1_, menu0_.IsAdministration as IsAdmini4_1_, menu0_.Name as Name1_ from [Menu] menu0_
2013-06-03 17:12:20,042 [10] DEBUG NHibernate.SQL - select menu0_.ID as ID1_, menu0_.Controller as Controller1_, menu0_.Action as Action1_, menu0_.IsAdministration as IsAdmini4_1_, menu0_.Name as Name1_ from [Menu] menu0_
2013-06-03 17:12:30,756 [6] DEBUG NHibernate.SQL - select menu0_.ID as ID1_, menu0_.Controller as Controller1_, menu0_.Action as Action1_, menu0_.IsAdministration as IsAdmini4_1_, menu0_.Name as Name1_ from [Menu] menu0_
2013-06-03 17:12:31,198 [7] DEBUG NHibernate.SQL - select menu0_.ID as ID1_, menu0_.Controller as Controller1_, menu0_.Action as Action1_, menu0_.IsAdministration as IsAdmini4_1_, menu0_.Name as Name1_ from [Menu] menu0_
2013-06-03 17:12:31,518 [8] DEBUG NHibernate.SQL - select menu0_.ID as ID1_, menu0_.Controller as Controller1_, menu0_.Action as Action1_, menu0_.IsAdministration as IsAdmini4_1_, menu0_.Name as Name1_ from [Menu] menu0_
2013-06-03 17:13:31,863 [9] DEBUG NHibernate.SQL - select menu0_.ID as ID1_, menu0_.Controller as Controller1_, menu0_.Action as Action1_, menu0_.IsAdministration as IsAdmini4_1_, menu0_.Name as Name1_ from [Menu] menu0_
2013-06-03 17:13:32,220 [10] DEBUG NHibernate.SQL - select menu0_.ID as ID1_, menu0_.Controller as Controller1_, menu0_.Action as Action1_, menu0_.IsAdministration as IsAdmini4_1_, menu0_.Name as Name1_ from [Menu] menu0_
2013-06-03 17:14:27,052 [11] DEBUG NHibernate.SQL - select menu0_.ID as ID1_, menu0_.Controller as Controller1_, menu0_.Action as Action1_, menu0_.IsAdministration as IsAdmini4_1_, menu0_.Name as Name1_ from [Menu] menu0_
2013-06-03 17:14:27,345 [9] DEBUG NHibernate.SQL - select menu0_.ID as ID1_, menu0_.Controller as Controller1_, menu0_.Action as Action1_, menu0_.IsAdministration as IsAdmini4_1_, menu0_.Name as Name1_ from [Menu] menu0_
2013-06-03 17:14:40,551 [11] DEBUG NHibernate.SQL - select TOP (1)  userprofil0_.ID as ID3_, userprofil0_.UserName as UserName3_ from [UserProfile] userprofil0_ where ltrim( rtrim( lower(userprofil0_.UserName) ) )=@p0;@p0 = 'qwe' [Type: String (4000)]
2013-06-03 17:14:40,555 [11] DEBUG NHibernate.SQL - select TOP (1)  webmembers0_.ID as ID4_, webmembers0_.Email as Email4_, webmembers0_.Password as Password4_, webmembers0_.CreatedDate as CreatedD4_4_, webmembers0_.UserProfileID as UserProf5_4_ from [WebMemberShip] webmembers0_ where webmembers0_.Email=@p0;@p0 = 'qweqw' [Type: String (4000)]
